Applicant (student) Username,Applications ID,Employer Industry Name,Postings Apply Start Date,Postings Expiration Date Date,Student Educations Cumulative Gpa
hasaga,1019890,Internet & Software,,2016-05-22,2.99
sgrewal,2908132,Retail Stores,,2016-11-28,3.33
vezenwa,99404,Investment / Portfolio Management,,2015-09-20,3.12
vezenwa,11111062,Internet & Software,,2018-03-15,3.12
vezenwa,6784419,Management Consulting,,2017-09-29,3.12
lackerm6,353501,Investment Banking,,2015-11-01,3.38
lackerm6,232037,Other Industries,,2015-10-04,3.38
cchang48,12073620,Higher Education,,2018-04-05,3.93
mli59,11971490,Investment Banking,,2018-04-01,3.87
sbajwa,3740016,Investment Banking,,2017-02-27,2.82
hasaga,466831,Investment / Portfolio Management,,2015-12-01,2.99
hasaga,466840,Management Consulting,,2015-11-30,2.99
gmongell,2892045,Scientific and Technical Consulting,,2016-11-30,3.75
sbajwa,3740297,Investment / Portfolio Management,,2017-02-23,2.82
mwang74,26182763,Management Consulting,,2019-04-12,
alin15,24980410,Higher Education,,2019-03-13,3.08
ypan16,469807,Human Resources,,2015-11-30,3.52
ypan16,469837,Other Industries,,2015-11-30,3.52
ypan16,469800,Human Resources,,2015-11-30,3.52
ypan16,469855,Insurance,,2015-11-30,3.52
ypan16,955023,Real Estate,,2016-05-13,3.52
ypan16,469879,Real Estate,,2015-11-30,3.52
ypan16,1007559,Scientific and Technical Consulting,,2016-05-12,3.52
jxu44,550852,Real Estate,,2016-03-17,3.6
pmcconeg,465919,Investment / Portfolio Management,,2015-11-30,3.85
pmcconeg,275185,Higher Education,,2015-10-11,3.85
pmcconeg,370240,Investment Banking,,2015-11-01,3.85
pmcconeg,370931,Investment Banking,,2015-11-01,3.85
pmcconeg,275222,Higher Education,,2015-10-11,3.85
dwadler,113942,Utilities and Renewable Energy,,2015-09-20,3.02
dwadler,113946,Internet & Software,,2015-09-20,3.02
cwatkin7,572085,"Journalism, Media & Publishing",,2016-02-02,3
dgamage,7292231,Management Consulting,,2017-09-29,2.92
mabdukad,17622887,Electronic & Computer Hardware,,2018-10-22,2.29
aengel3,911388,"Advertising, PR & Marketing",,2016-03-26,3.85
alin15,373917,Manufacturing - Other,,2015-11-08,3.08
akhosla,976707,Medical Devices,,2016-04-15,3.66
mkagaju,19324291,Electronic & Computer Hardware,,2018-11-05,3.66
zyan5,8598806,Internet & Software,,2017-11-17,3.63
cfan4,857446,Internet & Software,,2016-04-05,3.7
sgao6,306530,Insurance,,2015-10-30,3.83
dhargro3,1129106,Politics,,2016-07-30,3.35
jsanch14,2972394,Internet & Software,,2017-02-27,3.02
jsanch14,4439258,Internet & Software,,2017-04-30,3.02
jsanch14,4842982,Telecommunications,,2017-06-14,3.02
gmongell,3061114,Higher Education,,2016-11-28,3.75
dorenste,2920497,Other Industries,,2016-11-28,3.63
amurr10,14888836,Higher Education,,2018-08-15,2.92
cengler,9338282,CPG - Consumer Packaged Goods,,2018-01-05,4
pferreir,13367818,Healthcare,,2018-05-15,2.89
ocohen2,676181,,,,3.65
xding12,8272201,Investment / Portfolio Management,,2017-10-24,3.95
xding12,14782492,Higher Education,,2018-08-12,3.95
jpaulk,408154,Higher Education,,2015-11-11,3.2
blee38,4560095,Medical Devices,,2017-05-21,3.37
dorenste,3469308,,,,3.63
dorenste,2899309,Investment / Portfolio Management,,2016-11-28,3.63
dorenste,549244,Management Consulting,,2016-01-31,3.63
xding12,6012191,Higher Education,,2017-09-10,3.95
dorenste,3801994,Insurance,,2017-03-24,3.63
dorenste,456394,Investment Banking,,2015-12-13,3.63
bnyann,1721460,Higher Education,,2016-09-22,3.22
jmao6,537759,Commercial Banking & Credit,,2016-02-19,3.74
jmao6,547452,Investment Banking,,2016-02-15,3.74
jmao6,537548,Internet & Software,,2016-01-16,3.74
scorcora,613581,Investment / Portfolio Management,,2016-08-03,3.18
scorcora,851446,Internet & Software,,2016-03-06,3.18
nkuhrt,363204,Investment Banking,,2015-11-01,3.68
nkuhrt,336391,Insurance,,2015-10-25,3.68
ypan16,1008199,Commercial Banking & Credit,,2016-06-18,3.52
ypan16,955027,Non-Profit - Other,,2016-04-26,3.52
ypan16,724561,Accounting,,2016-02-09,3.52
ypan16,469814,Other Industries,,2015-11-30,3.52
ypan16,794692,Accounting,,2016-02-25,3.52
ypan16,469811,Human Resources,,2015-11-30,3.52
ypan16,469775,Wholesale Trade,,2015-11-30,3.52
alin15,413922,Non-Profit - Other,,2015-11-14,3.08
alin15,1056941,Utilities and Renewable Energy,,2016-07-15,3.08
alin15,373921,Manufacturing - Other,,2015-11-08,3.08
ypan16,469761,"Advertising, PR & Marketing",,2015-11-30,3.52
yli131,963740,Internet & Software,,2016-06-07,
ypan16,955013,Computer Networking,,2016-05-22,3.52
ypan16,469876,Environmental Services,,2015-11-30,3.52
tyu17,12123956,Investment / Portfolio Management,,2018-03-21,3.85
ispeece,15092827,Higher Education,,2018-08-12,3.51
ooshunla,6050098,Higher Education,,2017-09-10,3.29
rblowers,5047045,Higher Education,,2017-08-14,3.58
lzhang69,15082536,Higher Education,,2018-08-12,3.99
vmehta5,362594,Investment Banking,,2015-11-01,3.7
tfei,24697864,Biotech & Life Sciences,,2019-04-04,3.88
nyu5,16226019,Higher Education,,2018-09-09,3.85
cwang84,17329009,Internet & Software,,2018-09-25,3.81
gcicileo,26588417,Civil Engineering,,2019-05-09,3.29
sruffner,296026,Accounting,,2015-10-15,3.71
sahluwa3,9605623,Other Industries,,2018-01-26,3.53
mhartvei,11703633,Research,,2018-03-01,3.67
xlu32,16066289,Higher Education,,2018-09-09,3.94
dpan6,5434183,Investment Banking,,2017-09-15,3.91
axu6,9765815,Other Industries,,2018-01-26,3.78
dpan6,5216325,Higher Education,,2017-08-14,3.91
kguo,24345795,Management Consulting,,2019-03-31,3.71
lhall15,21314642,Healthcare,,2019-02-01,3.34
cwang84,16243478,Higher Education,,2018-09-14,3.81
cwang75,5100640,Investment Banking,,2017-09-15,3.84
sconte2,17968604,Higher Education,,2018-10-01,3.38
slu24,16288009,Higher Education,,2018-09-09,2.83
slu24,16288074,Higher Education,,2018-09-09,2.83
cwrig21,9134312,Internet & Software,,2017-11-30,2.92
mbrenn23,26547186,Investment Banking,,2019-04-10,3.34
vagarwa2,23843556,Biotech & Life Sciences,,2019-03-28,3.4
vagarwa2,25111685,Higher Education,,2019-03-13,3.4
vagarwa2,25111692,Higher Education,,2019-03-13,3.4
knadal,21130403,Investment Banking,,2019-01-02,3.1
hmiddles,660339,Pharmaceuticals,,2016-02-23,3.57
hkopin,3596589,,,,
bayachi,369803,Investment Banking,,2015-11-01,3.87
hhawthor,642302,Internet & Software,,2016-02-26,2.72
hhawthor,672546,Defense,,2016-02-09,2.72
hhawthor,672327,Performing and Fine Arts,,2016-03-13,2.72
ecamach3,1060937,Electronic & Computer Hardware,,2016-06-18,2.8
yli155,13812724,Investment / Portfolio Management,,2018-07-05,3.27
etonetti,25149206,Biotech & Life Sciences,,2019-04-04,3.38
jzh135,23827252,Transportation & Logistics,,2019-03-31,3.5
dlevin4,7259454,Management Consulting,,2017-09-29,3.98
mraboy,474906,Higher Education,,2016-01-04,2.77
dcapuci2,909135,Manufacturing - Other,,2016-05-22,2.06
aemiabat,15314389,Higher Education,,2018-09-09,
aemiabat,19576021,CPG - Consumer Packaged Goods,,2018-11-26,
cbarker5,26347861,Biotech & Life Sciences,,2019-04-04,3.98
dsalerno,4316521,,,2017-05-07,3.95
dsalerno,3566265,Research,,2017-03-02,3.95
jbill3,3581458,Internet & Software,,2017-03-15,3.36
jbill3,689552,,,2016-03-13,3.36
jbill3,807719,Healthcare,,2016-04-01,3.36
jbill3,541967,Internet & Software,,2016-06-30,3.36
dbamfo,15250161,Internet & Software,,2018-10-30,3.57
asayeed,8181894,Internet & Software,,2017-11-04,3.3
ggingher,13894343,Electronic & Computer Hardware,,2018-05-30,3.73
ctan8,11591364,Internet & Software,,2018-03-15,3.68
mwang54,21374904,Management Consulting,,2019-03-31,3.86
aromerob,12759514,Manufacturing - Other,,2018-04-12,2.71
hgangann,24195918,Tourism,,2019-02-27,3.01
jzhang89,10390151,Other Industries,,2018-01-26,3.84
cstanger,5348461,Higher Education,,2017-08-14,3.35
kwebste3,716019,Pharmaceuticals,,2016-02-23,3.09
tsingh8,15817016,Higher Education,,2018-09-09,3.62
jjenkin7,1917941,Higher Education,,2016-09-22,3.36
jjenkin7,5356955,Higher Education,,2017-08-14,3.36
pmart18,1241842,Higher Education,,2016-09-22,3.3
zguo6,399492,Electronic & Computer Hardware,,2015-11-15,
avarma6,8344967,Social Assistance,,2017-10-31,4
gbiggie,3670628,Medical Devices,,2017-04-02,3.45
avarma6,9308338,Other Education,,2018-01-31,4
dmarti20,889070,"Movies, TV, Music",,2016-02-28,3.3
yli131,851561,Internet & Software,,2016-04-29,
yli131,455672,Higher Education,,2016-01-04,
yli131,1007589,Internet & Software,,2016-06-23,
yli131,888595,"Advertising, PR & Marketing",,2016-09-12,
yli131,953672,"Advertising, PR & Marketing",,2016-05-03,
sshar28,24630,Non-Profit - Other,,2015-10-20,3.09
yzh269,19708622,Electronic & Computer Hardware,,2018-11-05,4
szhang27,968108,Other Industries,,2016-05-28,3.09
szhang27,968161,"Advertising, PR & Marketing",,2016-06-04,3.09
szhang27,497525,Human Resources,,2016-01-09,3.09
yliu139,12228896,Computer Networking,,2018-03-31,3.99
cfann,24364249,Higher Education,,2019-03-13,3.6
ckim38,1163083,Medical Devices,,2016-07-18,
qyang16,20078805,Internet & Software,,2018-11-29,
yzhou65,17050495,Investment Banking,,2018-10-08,3.63
eradford,469822,K-12 Education,,2015-11-30,3.93
atobar,391190,,,2015-11-20,3.77
jchoi75,13862818,Investment Banking,,2018-09-02,3.32
jchoi75,18780940,Management Consulting,,2019-03-31,3.32
jchoi75,16234252,Higher Education,,2018-09-09,3.32
pxu7,23954231,Tourism,,2019-02-27,3.9
efeirouz,6043036,Investment Banking,,2017-09-15,3.84
mbecker8,9608809,CPG - Consumer Packaged Goods,,2018-01-05,
rjain8,468503,Internet & Software,,2015-11-30,3.01
tlapinsk,3596480,,,,3.56
dvillar,13819167,Electronic & Computer Hardware,,2018-05-30,2.53
ooshin,3005434,Insurance,,2016-12-30,2.88
swong25,140544,Internet & Software,,2015-09-20,3.8
cteerara,19303341,Electronic & Computer Hardware,,2018-11-05,3.68
kkim66,12447027,Electronic & Computer Hardware,,2018-04-05,3.5
ydu17,12099421,Investment / Portfolio Management,,2018-03-21,3.32
abhairo,16146945,Higher Education,,2018-09-09,3.85
blemeneh,19893859,CPG - Consumer Packaged Goods,,2018-11-26,3.11
lchen34,372182,Internet & Software,,2015-12-20,2.76
lchen34,524553,Scientific and Technical Consulting,,2016-02-15,2.76
jestrell,16690853,Higher Education,,2018-09-14,3.17
gklimias,19649800,CPG - Consumer Packaged Goods,,2018-11-26,4
zyang46,17538894,Internet & Software,,2018-09-25,4
cbentum,21446934,Investment Banking,,2019-01-02,1.93
akhadilk,12069883,Investment / Portfolio Management,,2018-03-21,3.93
xdeng5,25726502,Biotech & Life Sciences,,2019-03-28,
klloyd,3569601,Higher Education,,,
mgage7,22741333,Insurance,,2019-01-31,4
kding5,11688629,,,2018-03-02,3.97
xxie10,331623,Insurance,,2015-10-25,3.61
xxie10,316156,Manufacturing - Other,,2015-11-08,3.61
mbodek,15045445,Internet & Software,,2018-10-30,3.85
pwright4,14332882,Human Resources,,2018-08-31,3.32
sfang12,8265946,Non-Profit - Other,,2017-10-27,3.69
khoang2,25542438,Biotech & Life Sciences,,2019-04-04,4
ywang251,20137426,Higher Education,,2018-11-16,3.53
yli137,7882713,Management Consulting,,2017-11-08,3.43
jmulliga,16254583,Higher Education,,2018-09-09,3.11
mcrenca,689011,,,,3.78
sdas13,23838845,Biotech & Life Sciences,,2019-03-28,3.97
sdas13,470893,Human Resources,,2016-01-04,3.97
sdas13,330077,Insurance,,2015-10-25,3.97
sdas13,330050,Insurance,,2015-10-30,3.97
tliu23,363292,Management Consulting,,2015-11-05,3.73
tliu23,459132,Investment / Portfolio Management,,2015-11-30,3.73
jjose3,16190569,Healthcare,,2018-09-21,3.91
cnelsona,5669087,Manufacturing - Other,,2017-09-22,2.75
khoang2,16494153,Higher Education,,2018-09-14,4
asm137,11604034,Higher Education,,2018-02-28,2.97
cwu59,12896755,Retail Stores,,2018-05-03,3.9
amehra4,26546621,Investment Banking,,2019-04-10,3.46
cpang2,546923,Higher Education,,2016-01-04,3.31
qli31,16274615,Higher Education,,2018-09-09,3.6
chaddix,1032454,Automotive,,2016-05-27,3.72
span11,15434221,Investment Banking,,2018-09-02,3.55
span11,19845720,CPG - Consumer Packaged Goods,,2018-11-26,3.55
ckong2,34809,Management Consulting,,2015-08-30,2.83
ckong2,714044,Electronic & Computer Hardware,,2016-03-18,2.83
aunnitha,26106378,Internet & Software,,2019-03-31,3.7
ychen218,19896713,CPG - Consumer Packaged Goods,,2018-11-26,3.72
ckandoi,26707676,Investment Banking,,2019-04-14,3.8
aemiabat,19576038,CPG - Consumer Packaged Goods,,2018-11-26,
yli143,8533367,Internet & Software,,2017-10-31,3.67
yli143,12064877,Investment / Portfolio Management,,2018-04-06,3.67
nfoti,9571337,Other Industries,,2018-01-26,3.55
yli143,8532107,Healthcare,,2017-11-07,3.67
cbarker5,16343219,Higher Education,,2018-09-14,3.98
nperpign,2937567,Other Industries,,2016-12-31,3.08
dsalerno,644938,Pharmaceuticals,,2016-02-23,3.95
jbill3,3581344,Internet & Software,,2017-03-15,3.36
tchanth2,12258275,Non-Profit - Other,,2018-03-19,3.25
jbill3,747519,Internet & Software,,2016-06-03,3.36
jbill3,452816,Transportation & Logistics,,2016-01-10,3.36
jbill3,987074,Human Resources,,2016-05-29,3.36
jbill3,747453,Aerospace,,2016-02-16,3.36
xtang19,24391373,Real Estate,,2019-02-28,4
ptrived2,725219,,,,3.8
hwhite11,4505573,Medical Devices,,2017-05-21,3.63
gfrankle,1035579,Politics,,2016-06-10,3.45
cwang75,5121279,Investment Banking,,2017-09-16,3.84
cwang75,6005343,Investment Banking,,2017-10-30,3.84
xchen74,14671429,Investment Banking,,2018-09-02,3.6
khoang2,25721834,Biotech & Life Sciences,,2019-04-04,4
vpatel18,4161641,Internet & Software,,2017-03-15,3.29
lluo4,26056864,Transportation & Logistics,,2019-04-18,3.8
xlv,832506,Internet & Software,,2016-05-06,
